id_str,possibly_sensitive,favorite_count,geo,text,coordinates
842422362486247424,,0,,RT @LIVEdude: .@McDonalds @McDonaldsCorp You'd love to have Obama back? Can't say that your franchisees would share your opinion.… ,
842422362188349440,false,0,,Introducing the female version of #Trump that shares the same DNA of #hypocrisy: #TheresaMay #UK. #ScotRef https://t.co/rxkeDDlULp,
842422363119595525,false,0,,🤔😂 https://t.co/rKZyarCnAl,
842422363341889536,,0,,"RT @DumpTrump22: For a guy who WINS all the time, #Trump Loses EVERY day
- Another #MuslimBan collapsed
- #TrumpCare is a disaster
-… ",
842422365283840000,,0,,RT @aasif: Guarantee there will be more investigation into the #Oscars2017 #BestPicture mixup than #Russia's interference in our election.…,
842422367590604800,false,0,,RT @likeagirlinc: Businesses urge #Trump to rethink climate bonfire | Climate Home - #climatechange news https://t.co/aU6f0zctph,
842422367192268800,,0,,"RT @3DTruth: Under #Trumpcare, 68% of #Trump voters will lose their healthcare.
Apparently, they love him so much, they're willing to die f…",
842422369117446144,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422368958070784,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422369109041152,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422369121632256,false,0,,@AmanMuqeet #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422369096462336,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422369457168384,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422369088114688,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422370832924673,false,0,,"RT @nobigotry: #WomansMarch #Hawaii #Trump #Hate #Dishonesty
#IntellectuallyLazy #LatinosForTrump #Woman https://t.co/e07S8LGoQd",
842422370862301184,,0,,"RT @Urinkellner: Ich warte darauf, dass #Steinmeier nun auch diesen hasserfüllten #Türken als #Hassprediger bezeichnet, so wie er ei… ",
842422369096462337,false,0,,RT @GSWSyndicate: .@LTCartoons #Cards #trump 50%off EndsThu @zazzle Code SPRINGLOVE17 @c/o #humor #exclusive https://t.co/winjIXA1MS  https…,
842422375643791361,false,0,,McDonalds ban 4 being against @POTUS Count me in!! https://t.co/uMSXmXQZwv,
